Country Name,GDP,G,I,C,NX
Netherlands,765572770634.3746,191228984750.78116,172062149565.23428,536083343363.28094,57427277705.859344
Norway,385801550067.1694,89656505115.22162,106046295339.46466,257593014363.95566,22162240363.749084
Nepal,24360795410.159687,2146672560.0152378,7619431906.257889,22503219014.095787,-6391433048.579093
New Zealand,178064471137.9208,32935720636.691715,41400303352.56891,135068603009.11801,1595564776.2338953
Oman,78710793237.97139,19392977893.36801,28628348504.551365,47778933680.10403,2303771131.3394017
Pakistan,270556131701.17093,29686863797.28665,42496334979.42955,245499436834.9602,-17439641769.502495
Panama,54091713775.5634,5563600000.0,23127300000.0,33434500000.0,-2470200000.0
Peru,189805300841.6028,24609345559.603065,46132395427.71008,148585290792.61398,-4912385378.721266
Philippines,306446140627.9328,33438304752.171738,65398511124.37103,255528673318.21338,-14481043814.652733
Poland,477811911394.0841,86333200689.74666,98406419949.59544,366236370871.4684,13169120573.020294
Puerto Rico,103375500000.0,9100300000.0,8888800000.0,70740800000.0,26401834000.0
Portugal,199394066525.44012,35593202378.58514,31614571256.757797,166305302133.60226,1474193135.0800774
Paraguay,36211372702.808464,4274091707.6202197,7922571231.016618,27350388854.21657,938412617.5944887
West Bank and Gaza,13972400000.0,3494500000.0,3505400000.0,15842800000.0,-5401200000.0
Qatar,161739955576.92307,32715592829.67033,59952434368.13187,68767740989.01099,33019780219.78022
Romania,177729210874.50385,24910976857.977383,44670544474.124374,134521207279.62653,-1462540879.247073
Russian Federation,1363481063446.766,242227717816.721,301993675507.93677,960507206540.4503,109725178337.87622
Rwanda,8539048447.78065,1182825095.3380353,2070944111.8795943,8069067912.687419,-1600963576.7863622
Saudi Arabia,654269902880.0,196303783013.33334,223580972320.0,459985624640.0,-29296857413.333332
Sudan,51726758676.76768,9746043777.777777,19169341101.0101,32578232161.61616,-20826373.737373736
Senegal,17774766636.04594,2541663163.9732437,4591810344.75468,15450296399.74987,-2267340108.4586115
Singapore,308004146057.6084,31388420133.83765,78088885656.09543,145836848996.21762,84078411405.29532
Sierra Leone,4218723875.1379037,432240839.4405044,655116083.5697399,4781266941.528763,-1184513155.6146572
El Salvador,23438240000.0,3866710000.0,3754100000.0,23806450000.0,-4122300000.0
San Marino,1419394771.2102852,283744613.97980696,171550948.36964273,856923362.4725951,390920460.3680458
Serbia,39655958842.54775,6508141610.16217,7408099702.788494,35040107929.86764,-2792288308.0265484
South Sudan,11997800760.224182,9498508490.094889,689964291.6597303,10377844986.404749,929991454.4142944
Slovak Republic,88636928904.64488,16490554732.78671,21598423665.40858,64317415998.87536,2721089240.360936
Slovenia,43107506024.32537,8114187308.853121,8260983630.873043,31397275376.15467,3449247017.2976546
Sweden,505103781349.7569,129903577512.67589,123390235875.82027,362470503049.40564,19243042424.531036
Eswatini,4063245671.2928457,892204992.8214463,508501886.8220582,3611877650.769243,86304151.00852796
Seychelles,1377495054.041265,279986818.2876542,507701852.9506756,1022235513.2605773,-69227731.91927233
Chad,10950392219.910398,563407294.2061194,3116389233.332155,8592251176.862705,-718416093.5921938
Togo,4180866177.03946,752112990.9979793,1347212851.1665113,3752067152.933543,-918413827.0605944
Thailand,401296437424.99493,68706570076.23869,89712389445.13062,274751034376.03107,41870140184.59634
Timor-Leste,1594410900.0,937368400.0,587382600.0,1865440700.0,-858412500.0
Tonga,437006227.1627811,93154238.07318203,110963769.23472801,534524213.8850291,-207712092.81198394
Tunisia,45780069046.659004,8149955077.675724,9952119219.196472,40611455188.77299,-4783505358.594362
Turkey,864316670330.8823,119320406911.7647,243730405257.35294,638097225073.5294,-17510960000.0
Tanzania,47378599025.30442,4703413058.61079,15520609424.166323,34960272762.75729,-3102283161.669406
Uganda,32387183844.65738,2900121385.7075057,7462122673.8382225,27757538959.579124,-3865296292.590925
Ukraine,91030959454.6961,17226833053.326435,14504250458.921387,78903761553.14561,-2377052557.3708954
Uruguay,53274304222.136024,7370931508.303021,10497909629.163403,42974861783.41152,-198467190.43890014
United States,18238300569000.0,2608983000000.0,3859763000000.0,14872459000000.0,-526199000000.0
Uzbekistan,86196265191.6645,11737243856.80466,22706974254.34558,67681194677.91194,-2773731991.8801794
Vietnam,193241108709.53622,12238468667.052193,53482815527.593124,143568397701.72394,1528696707.591761
Vanuatu,730870581.6723125,120333023.82254389,240455017.56137305,620786279.741479,-153336293.87131935
Kosovo,6295820481.526684,856741373.5715078,1915973593.6979918,6213041162.764895,-1833195384.444691
South Africa,346709790458.56305,65823101021.90468,64603151779.90228,286611792560.40845,-4505144658.724619
Zambia,21251216798.776245,3141055949.5665874,9096555880.035229,13904069902.192554,-1187595605.6181335
Zimbabwe,19963120600.0,3768540600.0,2003427000.0,21638589200.0,-3678895600.0
